timestamp,class,confidence,map_x,map_y,robot_x,robot_y,robot_yaw,is_new
2026-03-21T22:10:31.620843,fast_sign,0.957,-3.293,-4.471,-3.002,-3.000,-1.816,NEW
2026-03-21T22:10:36.465055,orange,1.000,-4.500,-2.942,-3.001,-2.999,3.026,NEW
2026-03-21T22:10:37.979150,orange,1.000,-4.500,-2.941,-3.001,-2.999,3.026,UPDATE
2026-03-21T22:10:39.837766,orange,1.000,-4.500,-2.941,-3.001,-2.999,3.025,UPDATE
2026-03-21T22:10:41.294818,orange,1.000,-4.500,-2.940,-3.001,-2.999,3.025,UPDATE
2026-03-21T22:10:43.270250,orange,1.000,-4.500,-2.942,-3.001,-2.999,3.026,UPDATE
2026-03-21T22:10:45.076666,orange,1.000,-4.500,-2.941,-3.001,-2.999,3.027,UPDATE
2026-03-21T22:10:47.745448,orange,1.000,-4.500,-2.944,-3.001,-2.999,3.026,UPDATE
2026-03-21T22:10:48.682558,orange,1.000,-4.500,-2.942,-3.001,-2.999,3.026,UPDATE
2026-03-21T22:10:50.737485,orange,1.000,-4.500,-2.944,-3.001,-2.999,3.026,UPDATE
2026-03-21T22:10:51.448597,orange,1.000,-4.500,-2.943,-3.001,-2.999,3.027,UPDATE
2026-03-21T22:10:52.377227,orange,1.000,-4.500,-2.940,-3.001,-2.999,3.026,UPDATE
2026-03-21T22:10:53.857469,orange,1.000,-4.499,-2.942,-3.001,-2.999,3.027,UPDATE
2026-03-21T22:10:56.635974,orange,1.000,-4.499,-2.942,-3.000,-2.999,3.027,UPDATE
2026-03-21T22:10:58.371155,orange,1.000,-4.499,-2.946,-3.000,-2.999,3.027,UPDATE
2026-03-21T22:10:59.479827,orange,1.000,-4.499,-2.945,-3.000,-2.999,3.027,UPDATE
2026-03-21T22:11:00.908826,orange,1.000,-4.499,-2.942,-3.000,-2.999,3.028,UPDATE
2026-03-21T22:11:02.138490,orange,1.000,-4.499,-2.946,-3.000,-2.999,3.028,UPDATE
2026-03-21T22:11:03.611333,orange,1.000,-4.499,-2.947,-3.000,-2.999,3.028,UPDATE
2026-03-21T22:11:07.841957,orange,1.000,-5.142,-2.911,-3.642,-2.935,3.047,UPDATE
2026-03-21T22:11:09.059411,orange,1.000,-5.131,-3.119,-3.642,-2.935,3.045,UPDATE
2026-03-21T22:11:09.059588,orange,0.990,-5.139,-2.846,-3.642,-2.935,3.045,UPDATE
2026-03-21T22:11:09.059618,orange,0.766,-5.108,-3.253,-3.642,-2.935,3.045,UPDATE
2026-03-21T22:11:10.018885,orange,1.000,-5.130,-3.120,-3.642,-2.935,3.046,UPDATE
2026-03-21T22:11:10.018955,orange,0.990,-5.139,-2.847,-3.642,-2.935,3.046,UPDATE
2026-03-21T22:11:12.078700,orange,1.000,-5.135,-2.823,-3.639,-2.935,2.847,UPDATE
2026-03-21T22:11:12.078866,orange,0.989,-5.091,-2.558,-3.639,-2.935,2.847,UPDATE
2026-03-21T22:11:14.040511,orange,1.000,-5.027,-2.367,-3.639,-2.935,2.708,UPDATE
2026-03-21T22:11:14.040726,orange,0.768,-4.956,-2.218,-3.639,-2.935,2.708,UPDATE
2026-03-21T22:11:16.772672,orange,1.000,-4.908,-2.136,-3.638,-2.935,2.708,UPDATE
2026-03-21T22:11:16.784222,orange,0.996,-4.799,-1.985,-3.638,-2.935,2.708,NEW
